"iperf","sysbench","ycruncher","pgbench","set","vm"
1204,8.4535,7.262,71993.3333333333,10,9
1119,8.447,7.271,71993.3333333333,10,9
1217,8.4521,7.273,71993.3333333333,10,9
1155,8.4584,7.259,71993.3333333333,10,9
1088,8.463,7.264,71993.3333333333,10,9
943,8.4513,7.231,71993.3333333333,10,9
1016,8.4506,7.255,54645,10,10
925,8.4518,7.284,55129,10,10
964,8.4468,7.234,55235,10,10
787,8.4501,7.268,55003,10,10
750,8.4539,7.261,55003,10,10
893,8.4529,7.243,55003,10,10
777,8.455,7.242,55003,10,10
890,8.4643,7.259,55003,10,10
970,8.4511,7.269,55003,10,10
900,8.4491,7.276,55003,10,10
711,8.4601,7.535,55950,11,1
807,8.4569,7.597,56623,11,1
819,8.4526,7.563,56949,11,1
703,8.4526,7.566,56507.3333333333,11,1
803,8.4461,7.603,56507.3333333333,11,1
769,8.4491,7.614,56507.3333333333,11,1
878,8.4524,7.577,56507.3333333333,11,1
1075,8.4558,7.617,56507.3333333333,11,1
849,8.458,7.573,56507.3333333333,11,1
831,8.4488,7.614,56507.3333333333,11,1
1126,8.46,7.531,62894,11,2
1120,8.4548,7.595,63621,11,2
828,8.4511,7.572,63526,11,2
745,8.4555,7.546,63347,11,2
807,8.4517,7.621,63347,11,2
759,8.4518,7.639,63347,11,2
886,8.4518,7.588,63347,11,2
995,8.4677,7.608,63347,11,2
1142,8.4582,7.596,63347,11,2
1215,8.4514,7.638,63347,11,2
947,8.4497,7.537,61619,11,3
880,8.4489,7.617,61375,11,3
824,8.4469,7.57,58899,11,3
764,8.4515,7.564,60631,11,3
812,8.4458,7.617,60631,11,3
1211,8.4507,7.644,60631,11,3
1062,8.4662,7.61,60631,11,3
929,8.4666,7.637,60631,11,3
931,8.452,7.608,60631,11,3
917,8.4478,7.64,60631,11,3
1197,8.4523,7.342,56772,11,4
1160,8.4588,7.346,53856,11,4
1161,8.4574,7.301,58210,11,4
1141,8.4507,7.334,56279.3333333333,11,4
1068,8.4519,7.326,56279.3333333333,11,4
945,8.4668,7.333,56279.3333333333,11,4
1007,8.4521,7.308,56279.3333333333,11,4
983,8.4493,7.309,56279.3333333333,11,4
1127,8.4494,7.334,56279.3333333333,11,4
1135,8.4484,7.328,56279.3333333333,11,4
979,8.4612,7.485,51632,11,5
964,8.4543,7.57,52214,11,5
861,8.45,7.549,53714,11,5
883,8.4508,7.528,52520,11,5
955,8.4571,7.595,52520,11,5
918,8.4509,7.605,52520,11,5
918,8.4499,7.566,52520,11,5
1041,8.45,7.586,52520,11,5
970,8.4519,7.571,52520,11,5
985,8.4641,7.592,52520,11,5
799,8.4511,7.499,62752,11,6
989,8.4547,7.562,62588,11,6
794,8.4573,7.523,63275,11,6
1137,8.4509,7.537,62871.6666666667,11,6
1090,8.4565,7.579,62871.6666666667,11,6
1091,8.4628,7.606,62871.6666666667,11,6
902,8.4555,7.545,62871.6666666667,11,6
913,8.4527,7.598,62871.6666666667,11,6
927,8.4559,7.567,62871.6666666667,11,6
907,8.4503,7.594,62871.6666666667,11,6
1078,8.4657,7.506,52750,11,7
1125,8.4521,7.586,52122,11,7
1141,8.4516,7.523,52877,11,7
751,8.4523,7.51,52583,11,7
640,8.4567,7.593,52583,11,7
783,8.457,7.602,52583,11,7
902,8.4546,7.544,52583,11,7
997,8.4594,7.592,52583,11,7
914,8.4603,7.564,52583,11,7
904,8.4536,7.6,52583,11,7
713,8.452,7.553,58629,11,8
789,8.4522,7.6,57626,11,8
1159,8.4561,7.571,58923,11,8
1101,8.4548,7.576,58392.6666666667,11,8
1146,8.4525,7.638,58392.6666666667,11,8
1101,8.4531,7.626,58392.6666666667,11,8
1156,8.4603,7.604,58392.6666666667,11,8
1181,8.4648,7.618,58392.6666666667,11,8
857,8.4512,7.608,58392.6666666667,11,8
836,8.4532,7.64,58392.6666666667,11,8
711,8.4599,7.282,71041,11,9
949,8.4559,7.298,71733,11,9
881,8.4549,7.293,71523,11,9
874,8.4524,7.284,71432.3333333333,11,9
900,8.4523,7.313,71432.3333333333,11,9
876,8.4518,7.304,71432.3333333333,11,9
896,8.4477,7.291,71432.3333333333,11,9
966,8.4534,7.301,71432.3333333333,11,9
1189,8.4515,7.316,71432.3333333333,11,9
1159,8.4458,7.287,71432.3333333333,11,9
927,8.4484,7.302,53937,11,10
921,8.4522,7.287,54517,11,10
878,8.4512,7.296,54831,11,10
782,8.4602,7.298,54428.3333333333,11,10
889,8.4554,7.272,54428.3333333333,11,10
813,8.4516,7.301,54428.3333333333,11,10
1038,8.463,7.29,54428.3333333333,11,10
944,8.4567,7.278,54428.3333333333,11,10
929,8.4491,7.297,54428.3333333333,11,10
946,8.4466,7.306,54428.3333333333,11,10
1080,8.4535,7.294,55143,11,11
1124,8.446,7.297,55100,11,11
1122,8.4466,7.309,56155,11,11
1049,8.4474,7.328,55466,11,11
1138,8.4449,7.307,55466,11,11
1106,8.4498,7.325,55466,11,11
1115,8.4527,7.312,55466,11,11
961,8.4684,7.328,55466,11,11
1121,8.4582,7.307,55466,11,11
