instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.26477766,10,10,1,TPC-B (sort of),simple,60 s,55329,55329,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18372059,10,10,1,TPC-B (sort of),simple,60 s,55645,55645,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1838119,10,10,1,TPC-B (sort of),simple,60 s,55496,55496,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18459558,10,10,1,TPC-B (sort of),simple,60 s,55126,55126,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18847346,10,10,1,TPC-B (sort of),simple,60 s,53557,53557,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.19616795,10,10,1,TPC-B (sort of),simple,60 s,54255,54255,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.19284844,10,10,1,TPC-B (sort of),simple,60 s,54587,54587,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.19880652,10,10,1,TPC-B (sort of),simple,60 s,55623,55623,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1936481,10,10,1,TPC-B (sort of),simple,60 s,53471,53471,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.40105367,10,10,1,TPC-B (sort of),simple,60 s,54298,54298,,
