experimentID,set id,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-051838e8918380892,m5d.large,9.05226802825927,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.10ms,9.0202s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.0699303150177,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.29ms,9.0308s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.06347012519836,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.86ms,9.0255s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.06553864479065,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.03ms,9.0161s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.14617705345153,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.06ms,9.0179s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.07652497291565,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.04ms,9.0565s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.0562846660614,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.31ms,9.0326s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.05626773834228,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.87ms,9.0364s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.03656530380249,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.14ms,9.0171s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.05607461929321,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.23ms,9.0335s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.04861879348754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.76ms,9.0283s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.04478979110717,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.92ms,9.0236s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.04492378234863,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.31ms,9.0227s,2,,
1571978908-0,0,i-05741e87947f9417d,m5d.large,9.05685591697692,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.21ms,9.0365s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.11943936347961,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.31ms,9.0196s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.06883764266967,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.04ms,9.0473s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.04471206665039,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.07ms,9.0208s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.04489064216613,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.27ms,9.0214s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.04937577247619,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.97ms,9.0274s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.08461546897888,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.69ms,9.0613s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.05427193641662,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.50ms,9.0194s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.05539059638977,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.58ms,9.0252s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.06668472290039,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.94ms,9.0264s,2,,
1571978908-0,0,i-058aac4c8b5980c21,m5d.large,9.06990504264831,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0221s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.14996170997619,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.11ms,9.0324s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.04918360710144,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.80ms,9.0286s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.03905200958252,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.90ms,9.0190s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.08858084678649,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.72ms,9.0686s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.04537224769592,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.62ms,9.0244s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.044691324234,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.63ms,9.0239s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.04461574554443,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.71ms,9.0216s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.05080437660217,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.27ms,9.0280s,2,,
1571978908-0,0,i-05c514d7a91792838,m5d.large,9.04256606101989,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.98ms,9.0206s,2,,
