instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions
i-08c6b31eb62575ff9,1532132304,c3.large,60.29762244224548,10,10,1,TPC-B (sort of),simple,60 s,56236
i-08c6b31eb62575ff9,1532132304,c3.large,60.28702116012573,10,10,1,TPC-B (sort of),simple,60 s,57556
i-08c6b31eb62575ff9,1532132304,c3.large,60.253570795059204,10,10,1,TPC-B (sort of),simple,60 s,57327
i-08c6b31eb62575ff9,1532132304,c3.large,60.252663135528564,10,10,1,TPC-B (sort of),simple,60 s,58046
i-0178c009d34532fb3,1532132304,c3.large,60.421523332595825,10,10,1,TPC-B (sort of),simple,60 s,55308
i-0178c009d34532fb3,1532132304,c3.large,60.24999690055847,10,10,1,TPC-B (sort of),simple,60 s,56149
i-0178c009d34532fb3,1532132304,c3.large,60.22095775604248,10,10,1,TPC-B (sort of),simple,60 s,56458
i-0178c009d34532fb3,1532132304,c3.large,60.25952744483948,10,10,1,TPC-B (sort of),simple,60 s,57801
i-0178c009d34532fb3,1532132304,c3.large,60.28402805328369,10,10,1,TPC-B (sort of),simple,60 s,57414
i-0178c009d34532fb3,1532132304,c3.large,60.28265714645386,10,10,1,TPC-B (sort of),simple,60 s,56890
i-0178c009d34532fb3,1532132304,c3.large,60.2829327583313,10,10,1,TPC-B (sort of),simple,60 s,57571
i-0178c009d34532fb3,1532132304,c3.large,60.280550479888916,10,10,1,TPC-B (sort of),simple,60 s,57713
i-0178c009d34532fb3,1532132304,c3.large,60.31752681732178,10,10,1,TPC-B (sort of),simple,60 s,56709
i-0178c009d34532fb3,1532132304,c3.large,60.32598900794983,10,10,1,TPC-B (sort of),simple,60 s,56191
i-0178c009d34532fb3,1532132304,c3.large,60.28403306007385,10,10,1,TPC-B (sort of),simple,60 s,56572
i-0178c009d34532fb3,1532132304,c3.large,60.27860140800476,10,10,1,TPC-B (sort of),simple,60 s,57221
i-0178c009d34532fb3,1532132304,c3.large,60.24730730056763,10,10,1,TPC-B (sort of),simple,60 s,56497
